id,date,price,lat,lon
560,3/12,267.27,40.805248,-73.934689
561,3/12,267.27,40.640525,-74.118036
562,3/12,267.27,40.768761,-73.990326
563,3/12,267.27,40.615203,-74.084655
564,3/12,267.27,40.768761,-73.990326
565,3/12,267.27,40.768761,-73.990326
566,3/12,267.27,40.677086,-73.922825
567,3/12,267.27,40.635495,-73.913293
568,3/12,267.27,40.635495,-73.913293
569,3/12,267.27,40.822904,-73.904713
570,3/12,267.27,40.822904,-73.904713
571,3/12,267.27,40.677086,-73.922825
572,3/13,267.21,40.635437,-74.132342
573,3/13,267.21,40.597930,-73.985493
574,3/14,267.19,40.748308,-73.988203
575,3/14,267.19,40.748308,-73.988203
576,3/14,267.19,40.748308,-73.988203
577,3/14,267.19,40.596086,-73.763017
578,3/14,267.19,40.636735,-74.134282
579,3/14,267.19,40.729165,-73.957469
580,3/14,267.19,40.729165,-73.957469
581,3/14,267.19,40.761864,-73.932645
582,3/14,267.19,40.761864,-73.932645
583,3/14,267.19,40.761864,-73.932645
584,3/14,267.19,40.656817,-73.927572
585,3/15,267.16,40.868158,-73.869122
586,3/15,267.16,40.868158,-73.869122
587,3/15,267.16,40.868158,-73.869122
588,3/15,267.16,40.868158,-73.869122
589,3/15,267.16,40.616157,-74.083320
590,3/16,267.16,40.642000,-73.898831
591,3/16,267.16,40.731336,-73.990004
592,3/16,267.16,40.723279,-73.975633
593,3/16,267.16,40.723279,-73.975633
594,3/16,267.16,40.824920,-73.902775
595,3/17,267.15,40.637858,-74.087320
596,3/17,267.15,40.797677,-73.964920
597,3/17,267.15,40.576630,-73.984781
598,3/17,267.15,40.576630,-73.984781
599,3/17,267.15,40.652910,-73.944970
600,3/17,267.15,40.652910,-73.944970
601,3/17,267.15,40.844014,-73.935452
602,3/17,267.15,40.636847,-74.156928
603,3/17,267.15,40.636847,-74.156928
604,3/17,267.15,40.737977,-73.990601
605,3/17,267.15,40.825815,-73.951036
606,3/17,267.15,40.825815,-73.951036
607,3/18,267,40.711863,-73.787884
608,3/18,267,40.701544,-73.983347
609,3/18,267,40.693002,-73.780184
610,3/18,267,40.693002,-73.780184
611,3/18,267,40.631837,-73.885656
612,3/18,267,40.752549,-73.964899
613,3/18,267,40.754108,-73.909560
614,3/18,267,40.673977,-74.004572
615,3/18,267,40.673977,-74.004572
616,3/18,267,40.597932,-74.002287
617,3/18,267,40.597932,-74.002287
618,3/18,267,40.597932,-74.002287
619,3/19,266.94,40.650391,-73.958709
620,3/19,266.94,40.694956,-73.979467
621,3/19,266.94,40.694956,-73.979467
622,3/19,266.94,40.694956,-73.979467
623,3/19,266.94,40.717696,-74.002340
624,3/20,266.97,40.633697,-73.884208
625,3/20,266.97,40.633697,-73.884208
626,3/20,266.97,40.589526,-73.815169
627,3/20,266.97,40.589526,-73.815169
628,3/20,266.97,40.823037,-73.903638
629,3/20,266.97,40.636445,-73.911746
630,3/20,266.97,40.636445,-73.911746
631,3/20,266.97,40.799240,-73.931723
632,3/21,266.95,40.904551,-73.847805
633,3/21,266.95,40.656755,-73.938396
634,3/21,266.95,40.684964,-73.982824
635,3/21,266.95,40.684964,-73.982824
636,3/21,266.95,40.684964,-73.982824
637,3/21,266.95,40.684964,-73.982824
638,3/21,266.95,40.684964,-73.982824
639,3/21,266.95,40.684964,-73.982824
640,3/21,266.95,40.836915,-73.903765
641,3/21,266.95,40.756073,-73.942802
642,3/21,266.95,40.825503,-73.904414
643,3/21,266.95,40.721977,-73.992847
644,3/21,266.95,40.721977,-73.992847
645,3/22,266.88,40.655649,-73.959858
646,3/22,266.88,40.858137,-73.901891
647,3/22,266.88,40.858137,-73.901891
648,3/22,266.88,40.640320,-74.133677
649,3/22,266.88,40.635418,-73.920533
650,3/22,266.88,40.815680,-73.923486
651,3/22,266.88,40.834773,-73.907115
652,3/22,266.88,40.635345,-74.135214
653,3/22,266.88,40.835650,-73.907170
654,3/22,266.88,40.754766,-73.945984
655,3/22,266.88,40.636969,-73.911128
656,3/22,266.88,40.634629,-73.919952
657,3/22,266.88,40.812509,-73.956161
658,3/22,266.88,40.645630,-73.888901
659,3/22,266.88,40.645630,-73.888901
660,3/23,266.9,40.754766,-73.945984
661,3/23,266.9,40.867298,-73.799623
662,3/23,266.9,40.546458,-74.141463
663,3/23,266.9,40.528716,-74.163073
664,3/23,266.9,40.592652,-73.980562
665,3/24,266.78,40.672802,-73.983287
666,3/24,266.78,40.672802,-73.983287
667,3/24,266.78,40.672802,-73.983287
668,3/24,266.78,40.672802,-73.983287
669,3/25,266.74,40.655673,-73.955586
670,3/25,266.74,40.688658,-73.984566
671,3/25,266.74,40.667902,-73.952516
672,3/25,266.74,40.665142,-73.958141
673,3/25,266.74,40.640256,-73.948279
674,3/25,266.74,40.805248,-73.934689
675,3/25,266.74,40.512348,-74.234553
676,3/26,266.76,40.589526,-73.815169
677,3/26,266.76,40.730342,-73.980775
678,3/26,266.76,40.602505,-73.748662
679,3/26,266.76,40.793986,-73.937328
